id,name,category,country,goal_usd,duration_days,launch_year,actual,predicted_p,n_recs,top_rec,top_rec_feature
10523351,Anjar 1939-2019: Rebuilding Musa Dagh in Lebanon,Photography,IT,5000.000000000003,38.0,2019,0,0.3018590807914734,5,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
91539330,Leila Milki's Debut Album,Music,US,6000.000000000005,30.0,2016,1,0.611741840839386,4,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
172892071,INSTRUMENT OF PEACE ~ LIBANA Returns to the Studio!,Music,US,2300.0000000000005,30.0,2012,1,0.8330073356628418,4,Your launch hour (3:00) is associated with lower success. Late morning to early afternoon launches tend to perform better.,launch_hour
194826351,We Are Not Princesses,Film & Video,US,39000.0,25.0,2018,1,0.8241897225379944,2,"Your goal of $39,000 may be too high for this profile. Consider lowering it.",log_goal
232640150,ITISAL,Film & Video,GB,6000.000000000005,25.0,2021,1,0.8419249653816223,2,Your blurb is hard to read at a glance. Simplify the language.,blurb_readability
249786908,Fly the Kebab #5!,Film & Video,US,299.9999999999999,27.0,2009,1,0.6931127309799194,3,Add a video. Campaigns without a video underperform meaningfully in this category.,has_video
286687542,The Interpreter,Film & Video,US,20000.000000000015,44.0,2015,1,0.6777523159980774,4,"Your goal of $20,000 may be too high for this profile. Consider lowering it.",log_goal
313203317,The Phoenician Collapse,Photography,US,14999.99999999999,30.0,2021,1,0.643461287021637,3,Your planned launch day-of-week (Sunday) is associated with lower success. Tuesdays and Wednesdays tend to perform best.,launch_dow
345340664,Primer Festival de Cine Libanés en LATAM (FECIL),Film & Video,MX,199999.99999999997,30.0,2024,1,0.5843610763549805,3,"Your goal of $199,999 may be too high for this profile. Consider lowering it.",log_goal
478764768,They Tell Their Own Story,Photography,US,10000.00000000001,30.0,2018,1,0.5596683025360107,3,Your launch hour (21:00) is associated with lower success. Late morning to early afternoon launches tend to perform better.,launch_hour
495904118,Project Remembrance: An American Hero,Art,US,20000.000000000015,41.0,2015,0,0.6580865383148193,5,"Your goal of $20,000 may be too high for this profile. Consider lowering it.",log_goal
510285999,The Human Face of Terror,Journalism,IT,20000.000000000015,59.0,2020,0,0.1051412895321846,5,Your campaign length of 59 days is hurting your odds. Most successful campaigns run 21-35 days.,duration_days
515130757,Thrive16 in the Middle East,Publishing,US,10000.00000000001,60.0,2015,1,0.6112013459205627,3,Your campaign length of 60 days is hurting your odds. Most successful campaigns run 21-35 days.,duration_days
